Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Header (product.metafields.custom.header),Bedding size (product.metafields.shopify.bedding-size),Care instructions (product.metafields.shopify.care-instructions),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Warmth level (product.metafields.shopify.warmth-level),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Norway,Price / Norway,Compare At Price / Norway,Included / European Union,Price / European Union,Compare At Price / European Union,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Included / United States,Price / United States,Compare At Price / United States,Status
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Superking Extra Long,,,Summer,,,,,DVT-850-SKX-SUM,0.0,,0,deny,manual,2335,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,21770,,true,2020,,true,1720,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Superking Extra Long,,,All Year,,,,,DVT-850-SKX-ALY,0.0,,0,deny,manual,2660,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,24800,,true,2300,,true,1960,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Superking Extra Long,,,Winter,,,,,DVT-850-SKX-WIN,0.0,,0,deny,manual,3400,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,31700,,true,2940,,true,2510,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Superking Extra Long,,,Polar,,,,,DVT-850-SKX-POL,0.0,,0,deny,manual,4870,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,45400,,true,4200,,true,3590,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Emperor,,,Summer,,,,,DVT-850-EMP-SUM,0.0,,0,deny,manual,2775,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,25870,,true,2400,,true,2050,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Emperor,,,All Year,,,,,DVT-850-EMP-ALY,0.0,,0,deny,manual,3145,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,29320,,true,2720,,true,2320,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Emperor,,,Winter,,,,,DVT-850-EMP-WIN,0.0,,0,deny,manual,3985,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,37150,,true,3440,,true,2940,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Emperor,,,Polar,,,,,DVT-850-EMP-POL,0.0,,0,deny,manual,5570,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,51920,,true,4810,,true,4100,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Alaskan King,,,Summer,,,,,DVT-850-ALK-SUM,0.0,,0,deny,manual,4405,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,41060,,true,3800,,true,3250,,true,,,
european-white-goose-100-down-duvet-fill-power-850,,,,,,,,,Alaskan King,,,All Year,,,,,DVT-850-ALK-ALY,0.0,,0,deny,manual,5055,,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,47120,,true,4360,,true,3720,,true,,,
